0,Fields group,Management of the resource,,,,,,,,,,,Metadata of the artefact (description of the item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link(s) to related resources,,,0
0,,,,,,,,,,,,,Artefact identity,,,,Related entities,,,Artefact typology,,,,,,Artefact format,,,,,,Copper-plate Format,,,,,,Date,,,,Place of original exposition,,,Place of discovery,,,,,,,Place of preservation,,,,,,,,,Rights,,,,,0
0,Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the artefact,Designation,Alternative designation,Alternative designation,Identifier(s) of the text(s),Identifier of the conglomerate artefact,Identifier of the monument,Artefact type 1,Reuse,Artefact type 2,Material type 1,Material type 2,Iconography and decoration,Height,Width,Depth,Diameter,Circumference,Weight,Weight other,Binding information,Preservation of seal,Sealing technique,Height (or diam.) of the seal,Width (or diam.) of the seal,CE Date,Date range,History of the artefact,Remarks,Current Availability,Place of original exposition,Place of original exposition ID,Place of discovery,Place of discovery ID,Place of discovery coordinates,Discovery events,Date of discovery events,Discovery events,Date of discovery events,Collection or place of preservation,Collection ID or place of preservation ID,Inventory number,Preservation events,Dates of preservation events,Preservation events,Dates of preservation events,Preservation events,Dates of preservation events,Institution or private person,Distribution rights of the artefact,Identifier of the surrogate,Identifier of the digital image,Link to external repository of images,0
0,Description of the fields,Digital identifier of the artefact. Syntax: ART<corpus>000001,Origin of the metadata: database or publication,Date of conversion of previously available metadata to the DHARMA model,"Person(s) who supplied metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)",Start date of metadata input/editing for DHARMA (YYYY-MM-DD),"Person(s) who entered/edited metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)","Validating person (use the DHARMA members' Ids and separate them by $, if more than one editor)",Date of metadata validation (YYYY-MM-DD),Project responsible for making these metadata available,Corpus to which the inscription pertains,Licence applicable to metadata,"Identifier of the artefact. 
Syntax: ART<corpus>000001",Designation of the artefact,Alternative designation(s),Alternative designation(s),"Identifier(s) of the text on the artefact(s), if there is more than one text on the artefact, separate the identifiers by $.",Identifier of the conglomerate artefact to which the artefact pertains,Identifier of the monument to which the artefact pertains,Artefact type,"""no"" by default, write ""yes"" if you're encoding a case of reuse",Artefact type,Material type,Material type,Iconography and/or decoration observed on the artefact — free text,Height of the artefact,Width of the artefact,Depth of the artefact,Diameter of the artefact,Circumference of the artefact,Weight of the artefact,"Other relevant weight(s), e.g. seal, ring — free text","Number of binding rings preserved, location of the holes, dimension of the holes, etc. Free text",Default value 'not applicable'. Replace by yes or no in case of presence/loss of seal(s) ,Type of seal,Height or diameter of the seal matrix,Width or diameter of the seal matrix,YYYY-MM-DD or YYYY-MM or YYYY,YYYY-YYYY,Description of what is known or recorded about the origin and subsequent history of the artefact (free text),Remarks on artefact-related metadata (free text),"To affirm in situ status, in collection status, loss, or uncertainty",Name of the place where the artefact was originally exposed — don't fill in if place ID is already available,ID of the place where the artefact was originally exposed,Place where the artefact was discovered — don't fill in if place ID is already available,ID of the place where the artefact was discovered,Coordinates if you have specific topographic data,first event type,date of events (YYYY or MM-YYYY or DD-MM-YYYY or YYYY-YYYY),second event type,date of events (YYYY or MM-YYYY or DD-MM-YYYY or YYYY-YYYY),Last known collection or place of preservation of the artefact — don't fill in if preserved in situ and if collection ID (next field) is available,Last known collection or place of preservation  — don't fill in if preserved in situ,Inventory number(s) of the artefact,first event type,date of events (YYYY or MM-YYYY or DD-MM-YYYY or YYYY-YYYY),second event type,date of events (YYYY or MM-YYYY or DD-MM-YYYY or YYYY-YYYY),third event type,date of events (YYYY or MM-YYYY or DD-MM-YYYY or YYYY-YYYY),Institution or private person authorizing access to the artefact,Licence applicable to the artefact,Identifier(s) of the related surrogate(s). Use $ to separate the identifiers.,Identifier(s) of the related digital image(s). Use $ to separate the identifiers.,Link(s) to related images stored on external repository.  Use $ to separate the identifiers.,0
,,ARTPallava000001,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000002,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000003,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000004,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000005,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000006,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000007,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000008,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000009,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000010,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000011,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000012,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000013,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000014,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000015,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000016,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000017,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000018,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000019,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000020,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000021,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000022,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000023,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000024,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000025,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000026,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000027,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000028,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000029,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000030,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000031,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000032,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000033,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000034,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000035,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000036,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000037,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000038,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000039,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000040,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000041,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000042,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000043,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000044,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000045,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000046,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000047,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000048,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000049,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000050,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000051,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000052,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000053,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000054,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000055,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000056,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000057,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000058,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000059,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000060,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000061,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000062,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000063,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000064,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000065,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000066,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000067,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000068,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000069,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000070,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000071,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000072,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000073,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000074,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000075,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000076,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000077,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000078,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000079,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000080,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000081,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000082,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000083,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000084,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000085,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000086,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000087,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000088,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000089,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000090,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000091,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000092,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000093,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000094,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000095,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000096,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000097,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000098,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000099,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,ARTPallava000100,,,,,,,,DHARMA,Pallava,CCO,ARTPallava000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,