0,Fields group,Management of the resource,,,,,,,,,,,Metadata of the conglomerate artefact (description of the item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link(s) to related resources,,,0
0,,,,,,,,,,,,,Conglomerate artefact identity,,,,Related entities,,,Conglomerate artefact typology,,,,,,Conglomerate artefact format,,,,,,Copper-plates set format,,,,,,,,Date,,,,Place of original exposition,,,Place of discovery,,,,,,,Place of preservation,,,,,,,,,Rights,,,,,0
0,Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the conglomerate artefact,Designation,Alternative designation,Alternative designation,Identifier(s) of the text(s),Identifier(s) of the artefact(s),Identifier of the monument,Artefact type 1,Reuse,Artefact type 2,Material type 1,Material type 2,Iconography and decoration,Height,Width,Depth,Diameter,Circumference,Weight,Plates (observed),Plates (estimated),Binding information,Foliation information,Preservation of seal,Sealing technique,Height of the seal,Width of the seal,CE Date,Date range,History of the artefact,Remarks,Current Availability,Place of original exposition,Place of original exposition ID,Place of discovery,Place of discovery ID,Place of discovery coordinates,discovery events 1 (type),discovery events 1 (date),discovery events 2 (type),discovery events 2 (date),Collection or place of preservation,Collection ID or place of preservation ID,Inventory number,preservation events,preservation events,preservation events,preservation events,preservation events,preservation events,Institution or private person,Distribution rights of the artefact,Identifier of the surrogate,Identifier of the digital image,Link to external repository of images,0
0,Description of the fields,"Digital identifier of the conglomerate artefact. 
Syntax: CONART00001",Origin of the metadata: database or publication,Date of conversion of previously available metadata to the DHARMA model,"Person(s) who supplied metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)",Start date of metadata input/editing for DHARMA (YYYY-MM-DD),"Person(s) who entered/edited metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)","Validating person (use the DHARMA members' Ids and separate them by $, if more than one editor)",Date of metadata validation (YYYY-MM-DD),Project responsible for making these metadata available,Corpus to which the inscription pertains,Licence applicable to metadata,"Identifier of the conglomerate artefact. 
Syntax: CONART00001",Designation of the conglomerate artefact,Alternative designation(s),Alternative designation(s),"Identifier(s) of the text(s) on the conglomerate artefact, if there is more than one text on the conglomerate artefact, separate the identifiers by $","Identifier(s) of the artefact(s) that pertains to the conglomerate artefact, if there is more than one artefact, separate the identifiers by $",Identifier of the monument that pertains to the conglomerate artefact,Conglomerate artefact type,"""no"" by default, write ""yes"" if you're encoding a case of reuse",Conglomerate artefact type,Material type,Material type,Iconography and/or decoration observed on the artefact (free text),Global height,Global width,Global depth,Global diameter,Global circumference,Global weight,Number of plates observed within the set,Number of plates estimated (but not observed),Number of binding rings preserved,Information about foliation. Free text,Indicate the presence of seal(s) by yes or no,Type of seal,Height of the seal matrix,Width of the seal matrix,YYYY-MM-DD or YYYY-MM or YYYY,YYYY-YYYY,Description of what is known or recorded about the origin and subsequent history of the artefact (free text),Remarks on conglomerate artefact-related metadata (free text),"To affirm in situ status, in collection status, loss, or uncertainty",Place where the artefact was originally exposed — don't fill in if place ID is already available,ID of the place where the artefact was originally exposed,Place where the artefact was discovered — don't fill in if place ID is already available,ID of the place where the artefact was discovered,Coordinates if you have a specific topographic data,type of events,date of events (YYYY or MM-YYYY or DD-MM-YYYY or YYYY-YYYY),type of events,date of events (YYYY or MM-YYYY or DD-MM-YYYY or YYYY-YYYY),Collection or place (if the artefact remains in situ) where the artefact is currently preserved — don't fill in if collection ID is already available,ID of the collection (institution or private collection) or place of preservation ID (if the artefact remains in situ),Inventory number(s) of the artefact,type of events,date of events (YYYY or MM-YYYY or DD-MM-YYYY or YYYY-YYYY),type of events,date of events (YYYY or MM-YYYY or DD-MM-YYYY or YYYY-YYYY),type of events,date of events (YYYY or MM-YYYY or DD-MM-YYYY or YYYY-YYYY),Institution or private person authorizing access to the artefact,Licence applicable to the artefact,Identifier(s) of the related surrogate(s). Use $ to separate the identifiers.,Identifier(s) of the related digital image(s). Use $ to separate the identifiers.,Link(s) to related images stored on external repository.  Use $ to separate the identifiers.,0
,,CONARTPallava000001,Vinson1905_01,,emfr,2023-01-17,,,,DHARMA,Pallava,CC0,CONARTPallava000001,"Vākūr (Pākūr) platesCOMMA time of NṛpatuṅgavarmanCOMMA year 8",,,INSPallava00155,,,documentary - plate_(copper-plate),,,metal - copper_alloy,,,20.19,9.15,,,,3106,5,,Found without ring. The whole piercing the plates is 0.135 cm in diameter and is found at 0.9 to 1 cm from the left vertical side.,The plates are not foliated.,Found without seal.,,,,,850-900,"Discovered by Jules DelafonCOMMA in June 1879COMMA buried at a depth of  1 metreCOMMA beneath a heap of bricksCOMMA 6 metres south of the Vākūr temple. Given by Jules Godin to Jules Ferry. Lost of sight until December 1904. Given by Madame Jules Ferry to the future BnF.",,in collection,,,,TBC,,find,06-1897,,,TBC,TBC,Indien 574,acquisition,15-05-1905,,,,,BnF,All rights reserved,,,,
,,CONARTPallava000002,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000003,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000004,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000005,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000006,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000007,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000008,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000009,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000010,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000011,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000012,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000013,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000014,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000015,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000016,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000017,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000018,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000019,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000020,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000021,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000022,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000023,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000024,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000025,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000026,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000027,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000028,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000029,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000030,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000031,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000032,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000033,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000034,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000035,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000036,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000037,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000038,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000039,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000040,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000041,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000042,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000043,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000044,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000045,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000046,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000047,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000048,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000049,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000050,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000051,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000052,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000053,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000054,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000055,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000056,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000057,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000058,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000059,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000060,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000061,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000062,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000063,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000064,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000065,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000066,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000067,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000068,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000069,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000070,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000071,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000072,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000073,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000074,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000075,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000076,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000077,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000078,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000079,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000080,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000081,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000082,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000083,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000084,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000085,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000086,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000087,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000088,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000089,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000090,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000091,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000092,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000093,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000094,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000095,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000096,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000097,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000098,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000099,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000100,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,